timestamp,from_level,to_level,score_added,total_score
1737148858,6,7,35.79927347271405,3633.2990674391976
1737910627,10,9,-18.52335016690631,3866.642588158593
1738581689,13,14,23.737431656380977,4321.266073441548
1738323069,13,14,24.550207877206958,4317.795615666117
1737908456,9,10,32.53052395629129,3900.9914980262224
1737644481,9,10,30.03733830635474,3905.1731810621736
1737211580,8,7,-23.549200410830963,3660.7840576025023
1736700673,3,4,34.99081842474561,3327.919889338083
1737232278,8,9,23.739920063370846,3814.1925476809984
1736623876,4,3,-18.56658690574477,3253.5699894786535
1736546033,1,2,61.51437469856319,3128.3738565837593
1737986622,9,10,29.80273689917658,3929.7850044158367
1736608193,2,3,37.57430861275316,3201.8743774613204
1737988993,10,11,27.724586229941906,4019.1957473116518
1736678741,3,4,33.11230993230811,3302.015735765834
1737391863,9,10,34.59738941421119,3909.16519318864
1737816925,10,9,-18.039371791780468,3868.7900668282964
1737810209,10,9,-21.285319685488048,3863.1701559592634
1738068377,12,13,34.40591518403744,4220.798464664611
1736618939,3,4,21.365937775129623,3301.7197584254754
1738333710,14,13,-25.22308828792211,4251.445363235976
1737044852,6,7,39.01692716384423,3634.0904264423375
1737992280,11,12,30.987988993208546,4112.936854427771
1736540621,1,2,36.63478116805436,3109.034355890888
1737146257,7,6,-26.000285085362066,3565.6670163206845
1737811625,9,10,39.38581164852758,3936.033558791628
1736713325,4,3,-16.099412007145474,3262.044119636032
1736545441,2,1,-21.68008218616569,3066.859481885196
1737208317,7,8,30.052312050437195,3704.49336558491
1738241104,14,13,-19.27706765734547,4268.142543871177
1736953899,4,5,40.61856946734497,3439.072091826678
1736882575,3,4,22.270556770708026,3319.243131714727
1736973290,5,6,33.32109232940138,3508.7017616461876
1738071957,13,14,26.909248407338964,4303.880370554853
1737138837,6,7,29.631173889877573,3609.8422123935934
1737133808,7,6,-22.287652976251138,3551.3786865729753
1736698856,4,3,-24.533947361578612,3258.8508456955774
1737641725,10,9,-21.28417996202461,3861.9003796660913
1737213825,7,8,36.72543311637082,3729.9523359477535
1737148858,6,7,35.79927347271405,3633.2990674391976
1737910627,10,9,-18.52335016690631,3866.642588158593
1738581689,13,14,23.737431656380977,4321.266073441548
1738323069,13,14,24.550207877206958,4317.795615666117
1737908456,9,10,32.53052395629129,3900.9914980262224
1737644481,9,10,30.03733830635474,3905.1731810621736
1737211580,8,7,-23.549200410830963,3660.7840576025023
1736700673,3,4,34.99081842474561,3327.919889338083
1737232278,8,9,23.739920063370846,3814.1925476809984
1736623876,4,3,-18.56658690574477,3253.5699894786535
1736546033,1,2,61.51437469856319,3128.3738565837593
1737986622,9,10,29.80273689917658,3929.7850044158367
1736608193,2,3,37.57430861275316,3201.8743774613204
1737988993,10,11,27.724586229941906,4019.1957473116518
1736678741,3,4,33.11230993230811,3302.015735765834
1737391863,9,10,34.59738941421119,3909.16519318864
1737816925,10,9,-18.039371791780468,3868.7900668282964
1737810209,10,9,-21.285319685488048,3863.1701559592634
1738068377,12,13,34.40591518403744,4220.798464664611
1736618939,3,4,21.365937775129623,3301.7197584254754
1738333710,14,13,-25.22308828792211,4251.445363235976
1737044852,6,7,39.01692716384423,3634.0904264423375
1737992280,11,12,30.987988993208546,4112.936854427771
1736540621,1,2,36.63478116805436,3109.034355890888
1737146257,7,6,-26.000285085362066,3565.6670163206845
1737811625,9,10,39.38581164852758,3936.033558791628
1736713325,4,3,-16.099412007145474,3262.044119636032
1736545441,2,1,-21.68008218616569,3066.859481885196
1737208317,7,8,30.052312050437195,3704.49336558491
1738241104,14,13,-19.27706765734547,4268.142543871177
1736953899,4,5,40.61856946734497,3439.072091826678
1736882575,3,4,22.270556770708026,3319.243131714727
1736973290,5,6,33.32109232940138,3508.7017616461876
1738071957,13,14,26.909248407338964,4303.880370554853
1737138837,6,7,29.631173889877573,3609.8422123935934
1737133808,7,6,-22.287652976251138,3551.3786865729753
1736698856,4,3,-24.533947361578612,3258.8508456955774
1737641725,10,9,-21.28417996202461,3861.9003796660913
1737213825,7,8,36.72543311637082,3729.9523359477535
1737148858,6,7,35.79927347271405,3633.2990674391976
1737910627,10,9,-18.52335016690631,3866.642588158593
1738581689,13,14,23.737431656380977,4321.266073441548
1738323069,13,14,24.550207877206958,4317.795615666117
1737908456,9,10,32.53052395629129,3900.9914980262224
1737644481,9,10,30.03733830635474,3905.1731810621736
1737211580,8,7,-23.549200410830963,3660.7840576025023
1736700673,3,4,34.99081842474561,3327.919889338083
1737232278,8,9,23.739920063370846,3814.1925476809984
1736623876,4,3,-18.56658690574477,3253.5699894786535
1736546033,1,2,61.51437469856319,3128.3738565837593
1737986622,9,10,29.80273689917658,3929.7850044158367
1736608193,2,3,37.57430861275316,3201.8743774613204
1737988993,10,11,27.724586229941906,4019.1957473116518
1736678741,3,4,33.11230993230811,3302.015735765834
1737391863,9,10,34.59738941421119,3909.16519318864
1737816925,10,9,-18.039371791780468,3868.7900668282964
1737810209,10,9,-21.285319685488048,3863.1701559592634
1738068377,12,13,34.40591518403744,4220.798464664611
1736618939,3,4,21.365937775129623,3301.7197584254754
1738333710,14,13,-25.22308828792211,4251.445363235976
1737044852,6,7,39.01692716384423,3634.0904264423375
1737992280,11,12,30.987988993208546,4112.936854427771
1736540621,1,2,36.63478116805436,3109.034355890888
1737146257,7,6,-26.000285085362066,3565.6670163206845
1737811625,9,10,39.38581164852758,3936.033558791628
1736713325,4,3,-16.099412007145474,3262.044119636032
1736545441,2,1,-21.68008218616569,3066.859481885196
1737208317,7,8,30.052312050437195,3704.49336558491
1738241104,14,13,-19.27706765734547,4268.142543871177
1736953899,4,5,40.61856946734497,3439.072091826678
1736882575,3,4,22.270556770708026,3319.243131714727
1736973290,5,6,33.32109232940138,3508.7017616461876
1738071957,13,14,26.909248407338964,4303.880370554853
1737138837,6,7,29.631173889877573,3609.8422123935934
1737133808,7,6,-22.287652976251138,3551.3786865729753
1736698856,4,3,-24.533947361578612,3258.8508456955774
1737641725,10,9,-21.28417996202461,3861.9003796660913
1737213825,7,8,36.72543311637082,3729.9523359477535
1737148858,6,7,35.79927347271405,3633.2990674391976
